,date,score,contents,
?곸뼱,Mar-21,2,"Poor Man's Amusement Park Copying Western Motifs Really not much to enjoy here. Granted we were rained out. But, tacky feel to areas modeled after Western regions (e.g.: cliche German town). Golden Bridge is the feature attraction and it feels somewhat less than authentic especially packed with tourists. Get to know your neighbours on the cable car because you are going to be on it for at least twenty minutes.",
?곸뼱,May-20,2,"Stay Away Until COVID-19 is Over!!! As of May 14th, 2020 the park has reopened and is charging full price for their admission tickets even though 75% of the shops, restaurants, and attractions remain shuttered. The gondolas do not run full-time and you may find yourself trapped for an hour until service resumes. Keep this all in mind before visiting.  If you like avoiding the crowds/queues and being on your own then this is the perfect time for you to visit. Otherwise, I?셝 postpone your visit until the park fully reopens.",
?곸뼱,Feb-20,1,"The most boring and pointless place ever The only thing that might redeem this place would be the views on a fine day but even that would not be enough to save it from being the biggest waste of money on our trip. I don't review places based on weather. I review based on what they have to offer. What this place has to offer is nothing. It tries and fails to be French. And what is the point of a bridge that goes nowhere? What a waste of a day and a waste of money. If you came to Vietnam to see Vietnam then this is not the place to do it. If you came to see a tacky, expensive tourist trap then, by all means, go.",
?곸뼱,Mar-20,1,"Avoid!! Don't visit now!!! When we arrived at Sunworld Ba Na Hills we asked various members of staff if shops, restaurants and attractions are open at Sunworld as the entrance fee is high at 750k pp. Everyone ensured us that EVERYTHING is open as normal. After paying full entrance fee, we arrived at Sunworld only to find that absolutely nothing was open - all shops, restaurants, attractions were closed and we felt robbed. The staff simply lied to us to make money and when we asked for a refund they outright refused without giving us any reason. I would give this 0 stars if I could as this made our time even worse in an already difficult situation.",
?곸뼱,Mar-20,1,"Daylight Robbery - Do not visit during this time We came away from Ba Na Hills feeling angry, cheated and upset. The dishonest staff charged us 1.5million VND for 2 entrance tickets ensuring us that everything was open. As we made our way in, 'Hoi An Station' was closed, none of the escalators were working so we had to climb countless steps to the Cable Car. Upon reaching the top, everywhere was closed. It is like a ghost town. None of the actives or features were open. They were blaring out tacky music - horrible experience. Thoroughly depressing.  After a short walk round looking at the faux French & German closed shops and restaurants, we made our way back and enquired about a refund. They refused to refund us and said it was because of Coronavirus. So why did they not tell us this prior to paying? This was nothing short of day light robbery. The people and management that represent this place are dishonest crooks who should feel ashamed in scamming the customer of their money. Do not waste your time or money!",
?곸뼱,Feb-20,1,"Dreadful What a mistake this was, enjoyable cable car ride and thats it. Very tacky, noisy and cliche, could not move for people taking selfies, a complete nightmare of a place with loud loud music blasting out. If you have any standards, give it a WIDE berth, enough said.",
?곸뼱,Mar-20,2,March break bust. We went for a family vacation in March and while charging full price for admission I was surprised to find the majority of the hill had been closed and they had a skeleton crew working. The views from the cable car are impressive but very long and the golden hands were clouded in fog and full of wedding photographers so it was a chore trying to take a decent picture. The beer pavilion was closed as were the restaurants and hotels at the top of the hill. Not worth the price at the time we went but I still had a nice time with family.,
?곸뼱,Mar-20,2,Half the place shut We went up yesterday on the cable car only to find that a lot of the activities and restaurants were closed We feel that you should be told that you will not get the full experience that you are expecting and paying a lot of money to see You should be advising people wwhen they go to buy their ticket that most of the things at the top are closed How about a fair go to those of us who have stayed in your country and kept some money circulating to help your people Honesty at times like this goes a long way,
?곸뼱,Mar-20,1,"Very strange place We went in March when there was no-one there due to the virus but the only things worth going for is the cable car (long and quite boring after living in Europe) and the hand bridge. Everything else is slightly odd and not worth going. It?셲 expensive at 750k per person, especially for Vietnam",
?곸뼱,Jan-20,1,"Overcrowded and overpriced Too be honest we didn't know what to expect from Ba Na hills but it certainly didn't match our expectation! The only attraction really is to enjoy the cable car ride (which apparently is the longest one in the world). The famous bridge with the 2 palm hands was a serious let down! Instagram was a little bit deceiving in that this place is just swarming with tourists! We wanted to be the first people here to get some good photos with no one else but we were told the wrong opening times of the cable car and actually arrived at 8am... already too late as the tourist crowds were in the hundreds! Actually the most annoying was all the pre-wedding photo shoots... there must have been at least 5 couples and camera crew, which really put a dampen on the whole experience as they think they own the area! My suggestion for the park is to open up a special pre-wedding package (for a premium) that allows couples and crew to enjoy the facility before park opening times thus making everyone happy! Perhaps even an option for instagrammers to do the same thing (before park opening times)! If this is already in place then better advertising for this is needed and more restrictions on the pre-wedding shoots not to happen during public times!",
